City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
2,Avarua,CK,78.8,broken clouds,-21.21,-159.78,Paradise Inn
6,Sumenep,ID,79.52,overcast clouds,-7.02,113.87,OYO 3271 Homestay Pandian
8,Puri,IN,77.0,thunderstorm,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
10,Minbu,MM,77.18,overcast clouds,20.18,94.88,Kaung Thar Guest House - Burmese Only
12,Hilo,US,86.0,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
14,Lazaro Cardenas,MX,86.49,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
17,Sal Rei,CV,80.6,broken clouds,16.18,-22.92,Marine Club Beach Resort
29,Colomi,BO,80.6,few clouds,-17.35,-65.87,Residencial EL TURISMO
34,Morondava,MG,76.91,scattered clouds,-20.28,44.28,La Case Bambou
35,Kapaa,US,86.0,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
40,Tyler,US,80.6,clear sky,32.35,-95.3,Quality Inn Tyler - Lindale
42,Amapa,BR,87.33,overcast clouds,1.0,-52.0,
44,Micheweni,TZ,76.96,clear sky,-4.97,39.83,
47,Pochutla,MX,87.8,broken clouds,15.74,-96.47,Hotel Posada San Jose
51,Yulin,CN,75.15,light rain,22.63,110.15,罗弟天海大厦
55,Axim,GH,75.7,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
57,Da Nang,VN,78.8,scattered clouds,16.07,108.22,Grand Mercure Danang
58,Zhuhai,CN,81.0,light rain,22.28,113.57,珠海粤财假日酒店
64,Hua Hin,TH,79.11,overcast clouds,12.57,99.96,InterContinental Hua Hin Resort
66,Atuona,PF,78.21,scattered clouds,-9.8,-139.03,Villa Enata
69,Butaritari,KI,81.64,overcast clouds,3.07,172.79,Isles Sunset Lodge
71,Victoria,HK,82.0,light rain,22.29,114.16,Mini Hotel Central
78,Inirida,CO,84.27,moderate rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
80,Pambuhan,PH,78.51,scattered clouds,13.97,123.08,
81,Kahului,US,87.8,few clouds,20.89,-156.47,Maui Seaside Hotel
82,Puerto Escondido,MX,86.0,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
84,Lagos,NG,76.05,broken clouds,6.58,3.75,
85,Isabela,PH,80.35,broken clouds,6.71,121.97,Isawad Resort
86,Bathsheba,BB,86.0,few clouds,13.22,-59.52,Atlantis Hotel
89,Sao Joao Da Barra,BR,78.8,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
91,Looc,PH,79.88,moderate rain,12.26,121.99,Cummings Highlands
94,Matadi,CD,80.46,broken clouds,-5.82,13.45,Hotel Fortune
106,Great Bend,US,75.0,clear sky,38.36,-98.76,Best Western Angus Inn
107,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
110,Kudahuvadhoo,MV,80.19,moderate rain,2.67,72.89,Kudahuvadhoo Retreat
112,Lompoc,US,87.8,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
120,Santa Cruz Cabralia,BR,78.8,scattered clouds,-16.28,-39.02,Portobali Hotel
127,Wewak,PG,77.11,few clouds,-3.55,143.63,In Wewak Boutique Hotel
129,Chico,US,84.2,clear sky,39.73,-121.84,Quality Inn Near Chico State
130,Amahai,ID,77.31,light rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
133,Bandarbeyla,SO,78.24,moderate rain,9.49,50.81,REER XOOSHLE GROUP
134,Cikupa,ID,77.0,haze,-6.24,106.51,Baguos Priyo Satiaji
135,Puerto Ayacucho,VE,85.78,light rain,5.66,-67.62,Posada Turistica Manapiare
139,Kavieng,PG,83.26,light rain,-2.57,150.8,Nusa Island Retreat
142,Hithadhoo,MV,83.34,overcast clouds,-0.6,73.08,Scoop Guest House
146,Weiser,US,82.0,clear sky,44.25,-116.97,The Colonial Motel
151,Papetoai,PF,84.2,few clouds,-17.5,-149.87,InterContinental Resort And Spa Moorea
154,Singkang,MY,77.0,few clouds,2.1,102.8,Kampung Seri Makmor Pagoh
156,Kulhudhuffushi,MV,81.5,overcast clouds,6.62,73.07,Haajy Guest House 1
158,Dogondoutchi,NE,83.7,overcast clouds,13.64,4.03,Hôtel Alheri Maison Alheri
160,Atar,MR,89.01,clear sky,20.52,-13.05,Oumou Elghoura
166,San Cristobal,VE,89.6,scattered clouds,7.77,-72.22,Pirineos
173,Pitimbu,BR,80.6,few clouds,-7.47,-34.81,Reserva do Abiaí
174,Sakakah,SA,82.4,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
176,Carora,VE,87.96,broken clouds,10.18,-70.08,Hotel Irpinia
179,Mangaldai,IN,77.9,light rain,26.43,92.03,Hotel Siddarth Palace
182,Tecoanapa,MX,84.76,broken clouds,16.52,-98.75,Hotel Manglares
183,Bani,DO,84.0,shower rain,18.28,-70.33,Hospedaje Henriquez
187,Cockburn Town,TC,87.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
190,Camocim,BR,80.98,overcast clouds,-2.9,-40.84,Hotel Ilha do Amor
193,Coahuayana,MX,84.2,scattered clouds,18.73,-103.68,Hotel Los Arcos
195,Bengkulu,ID,75.92,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
199,Ewa Beach,US,84.2,few clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
201,Hit,IQ,81.16,clear sky,33.64,42.83,Aboody Alhachem
203,Vernon,CA,75.99,clear sky,50.26,-119.27,Prestige Vernon Lodge and Conference Centre
204,Bubaque,GW,81.75,overcast clouds,11.28,-15.83,Casa Dora - Mango Lodge
210,Mindelo,CV,80.6,few clouds,16.89,-24.98,Hotel Gaudi
213,Cayenne,GF,84.2,broken clouds,4.93,-52.33,Hôtel Le Dronmi
218,Eureka,US,87.01,fog,40.8,-124.16,Eureka Inn Trademark By Wyndham
220,Iracoubo,GF,81.7,broken clouds,5.48,-53.2,Le Gite D Iracoubo
221,Bairiki,KI,82.4,broken clouds,1.33,172.98,Tarawa Boutique Hotel
223,The Valley,AI,84.2,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
225,Caravelas,BR,75.34,scattered clouds,-17.71,-39.25,Pousada dos Navegantes
235,Sur,OM,82.38,clear sky,22.57,59.53,Sur Plaza Hotel
240,Jalu,LY,86.63,clear sky,29.03,21.55,Jalu Hotel
246,Half Moon Bay,US,84.99,smoke,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
250,Natal,BR,80.6,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
252,Narasannapeta,IN,78.24,light rain,18.42,84.05,G.lingaraju home
255,Mumford,GH,76.8,scattered clouds,5.26,-0.76,Spanish Villa
256,Sokoto,NG,76.12,overcast clouds,13.06,5.24,RG Palace
258,Awbari,LY,83.57,scattered clouds,26.59,12.78,فندق أوباري
261,Kibala,TD,82.4,scattered clouds,9.11,18.35,
262,Laguna,US,86.0,haze,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
265,Oistins,BB,86.0,few clouds,13.07,-59.53,Butterfly Beach Hotel
267,Grants,US,78.8,clear sky,35.15,-107.85,"Motel 6 Grants, NM"
273,Bequimao,BR,84.2,few clouds,-2.45,-44.78,Hotel e Restaurante Brisamar
275,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
278,Cabedelo,BR,80.6,few clouds,-6.98,-34.83,Lua Mansa Pousada
282,Sao Jose Da Coroa Grande,BR,76.1,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
283,Locri,IT,78.8,overcast clouds,38.24,16.26,Grand Hotel President
289,Port-Gentil,GA,78.8,scattered clouds,-0.72,8.78,Fengshui Residence
292,Kalmunai,LK,79.56,overcast clouds,7.42,81.82,VS Villa
294,Bintulu,MY,75.2,scattered clouds,3.17,113.03,900 Boutique INN
300,San Quintin,MX,85.87,clear sky,30.48,-115.95,Old Mill Hotel
302,Bonthe,SL,78.24,light rain,7.53,-12.51,Bonthe Holiday Village
306,Chake Chake,TZ,75.65,clear sky,-5.25,39.77,Hotel Archipelago
308,Minchinabad,PK,78.28,clear sky,30.16,73.57,Ayyaz House
313,Dingle,PH,76.19,moderate rain,11.0,122.67,Camp Pasica
327,Mamu Kanjan,PK,76.98,clear sky,30.83,72.8,Malik Taj Iron Store
