City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Puerto Ayora,EC,-0.74,-90.35,77.0,61,40,11.41,scattered clouds
1,Beloha,MG,-25.17,45.05,63.7,80,39,10.2,scattered clouds
2,Avarua,CK,-21.21,-159.78,78.8,65,53,11.41,broken clouds
3,Rincon De La Victoria,ES,36.72,-4.28,66.99,39,20,9.17,few clouds
4,Ushuaia,AR,-54.8,-68.3,46.4,61,40,20.8,scattered clouds
5,Mount Gambier,AU,-37.83,140.77,55.4,93,40,6.93,heavy intensity rain
6,Sumenep,ID,-7.02,113.87,79.52,80,98,6.15,overcast clouds
7,Izhma,RU,65.01,53.91,31.35,96,0,3.69,clear sky
8,Puri,IN,19.8,85.85,77.0,100,40,5.82,thunderstorm
9,Rikitea,PF,-23.12,-134.97,72.99,78,0,16.82,clear sky
10,Minbu,MM,20.18,94.88,77.18,90,99,4.81,overcast clouds
11,East London,ZA,-33.02,27.91,62.08,84,97,10.78,light rain
12,Hilo,US,19.73,-155.09,86.0,58,20,6.35,few clouds
13,Tiksi,RU,71.69,128.87,24.58,95,77,21.47,broken clouds
14,Lazaro Cardenas,MX,17.96,-102.2,86.49,56,0,7.49,clear sky
15,Svetlaya,RU,46.54,138.33,48.04,76,0,8.68,clear sky
16,Hasaki,JP,35.73,140.83,64.4,93,75,2.24,broken clouds
17,Sal Rei,CV,16.18,-22.92,80.6,74,75,20.8,broken clouds
18,Busselton,AU,-33.65,115.33,48.0,67,89,9.57,overcast clouds
19,Kruisfontein,ZA,-34.0,24.73,60.01,90,85,5.01,light rain
20,Vardo,NO,70.37,31.11,48.47,82,42,22.26,scattered clouds
21,Vestmannaeyjar,IS,63.44,-20.27,46.4,81,40,10.29,scattered clouds
22,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,30.2,100,0,6.71,clear sky
23,Westport,US,41.14,-73.36,68.0,42,75,16.11,broken clouds
24,Qaanaaq,GL,77.48,-69.36,24.6,88,100,0.6,overcast clouds
25,Carnarvon,AU,-24.87,113.63,55.4,54,0,19.46,clear sky
26,Bluff,NZ,-46.6,168.33,48.99,95,100,13.0,light rain
27,Tuktoyaktuk,CA,69.45,-133.04,42.8,100,90,8.05,shower rain
28,Punta Arenas,CL,-53.15,-70.92,48.2,57,75,25.28,broken clouds
29,Colomi,BO,-17.35,-65.87,80.6,21,20,8.05,few clouds
30,Natitingou,BJ,10.3,1.38,72.64,91,69,2.48,moderate rain
31,Khandyga,RU,62.67,135.6,25.45,92,0,1.99,clear sky
32,Ahipara,NZ,-35.17,173.17,60.87,59,0,2.98,clear sky
33,Lillooet,CA,50.69,-121.94,68.0,56,1,2.24,clear sky
34,Morondava,MG,-20.28,44.28,76.91,75,30,7.05,scattered clouds
35,Kapaa,US,22.08,-159.32,86.0,70,40,6.93,scattered clouds
36,Talnakh,RU,69.49,88.4,24.8,92,0,33.55,clear sky
37,Hobart,AU,-42.88,147.33,50.0,93,90,4.7,light rain
38,Chumikan,RU,54.72,135.31,46.29,73,100,11.61,light rain
39,Reitz,ZA,-27.8,28.43,53.2,41,0,2.89,clear sky
40,Tyler,US,32.35,-95.3,80.6,30,1,10.29,clear sky
41,Henties Bay,NA,-22.12,14.28,55.99,88,1,9.91,clear sky
42,Amapa,BR,1.0,-52.0,87.33,50,87,4.99,overcast clouds
43,Haines Junction,CA,60.75,-137.51,47.86,64,100,10.27,overcast clouds
44,Micheweni,TZ,-4.97,39.83,76.96,82,9,10.09,clear sky
45,Hermanus,ZA,-34.42,19.23,60.01,85,19,8.01,few clouds
46,Mar Del Plata,AR,-38.0,-57.56,44.6,64,75,10.29,broken clouds
47,Pochutla,MX,15.74,-96.47,87.8,62,75,6.53,broken clouds
48,Chokurdakh,RU,70.63,147.92,27.97,98,99,14.23,overcast clouds
49,Yellowknife,CA,62.46,-114.35,50.0,76,75,20.8,broken clouds
50,Emba,KZ,48.83,58.14,50.72,44,3,4.65,clear sky
51,Yulin,CN,22.63,110.15,75.15,93,70,1.59,light rain
52,Narimanov,RU,46.69,47.85,51.8,62,99,8.95,overcast clouds
53,Mahebourg,MU,-20.41,57.7,71.6,88,40,3.36,scattered clouds
54,Khowst,AF,33.38,69.88,63.27,28,0,2.19,clear sky
55,Axim,GH,4.87,-2.24,75.7,88,27,6.24,scattered clouds
56,Kaitangata,NZ,-46.28,169.85,52.0,81,100,15.01,light rain
57,Da Nang,VN,16.07,108.22,78.8,94,40,3.4,scattered clouds
58,Zhuhai,CN,22.28,113.57,81.0,83,20,8.05,light rain
59,Atherton,GB,53.52,-2.49,51.01,98,100,8.99,light rain
60,Castro,BR,-24.79,-50.01,68.81,76,75,12.71,broken clouds
61,Katsuura,JP,35.13,140.3,71.6,83,75,3.36,broken clouds
62,Clyde River,CA,70.47,-68.59,26.6,86,75,2.24,broken clouds
63,Cabo San Lucas,MX,22.89,-109.91,93.2,49,5,9.17,clear sky
64,Hua Hin,TH,12.57,99.96,79.11,83,100,6.31,overcast clouds
65,Pangnirtung,CA,66.15,-65.71,33.8,92,90,11.41,overcast clouds
66,Atuona,PF,-9.8,-139.03,78.21,74,31,24.7,scattered clouds
67,Zakupy,CZ,50.68,14.65,60.01,81,97,1.9,overcast clouds
68,Vostok,RU,46.49,135.88,36.05,99,2,5.99,clear sky
69,Butaritari,KI,3.07,172.79,81.64,71,99,9.42,overcast clouds
70,Namibe,AO,-15.2,12.15,67.19,68,66,5.5,broken clouds
71,Victoria,HK,22.29,114.16,82.0,80,100,6.78,light rain
72,Raychikhinsk,RU,49.78,129.41,44.6,98,100,5.32,light rain
73,Port Alfred,ZA,-33.59,26.89,62.15,85,84,19.28,light rain
74,Ponta Do Sol,PT,32.67,-17.1,71.01,88,40,12.75,light intensity shower rain
75,Lebu,CL,-37.62,-73.65,49.64,60,2,7.83,clear sky
76,Hami,CN,42.8,93.45,54.48,32,89,2.48,overcast clouds
77,Isangel,VU,-19.55,169.27,73.4,88,40,11.41,scattered clouds
78,Inirida,CO,3.87,-67.92,84.27,77,71,1.54,moderate rain
79,Nuuk,GL,64.18,-51.72,33.8,74,20,4.7,few clouds
80,Pambuhan,PH,13.97,123.08,78.51,87,48,3.69,scattered clouds
81,Kahului,US,20.89,-156.47,87.8,52,20,3.36,few clouds
82,Puerto Escondido,MX,15.85,-97.07,86.0,70,40,9.17,scattered clouds
83,Bredasdorp,ZA,-34.53,20.04,60.8,87,70,8.05,broken clouds
84,Lagos,NG,6.58,3.75,76.05,89,76,3.78,broken clouds
85,Isabela,PH,6.71,121.97,80.35,81,74,4.36,broken clouds
86,Bathsheba,BB,13.22,-59.52,86.0,70,20,12.75,few clouds
87,Saint-Joseph,RE,-21.37,55.62,73.4,78,90,16.11,overcast clouds
88,Constitucion,CL,-35.33,-72.42,51.53,58,3,15.23,clear sky
89,Sao Joao Da Barra,BR,-21.64,-41.05,78.8,78,40,20.8,scattered clouds
90,Dongsheng,CN,39.82,109.98,28.98,78,0,13.98,clear sky
91,Looc,PH,12.26,121.99,79.88,84,100,5.93,moderate rain
92,Pevek,RU,69.7,170.31,31.53,98,100,4.76,overcast clouds
93,Blythe,US,33.61,-114.6,102.0,5,1,3.36,clear sky
94,Matadi,CD,-5.82,13.45,80.46,70,77,8.88,broken clouds
