City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lagoa,PT,2020-09-30 00:00:52,39.05,-27.98,66.56,69,65,8.57
1,Qaanaaq,GL,2020-09-30 00:00:52,77.48,-69.36,14.61,79,3,5.59
2,Saint George,US,2020-09-29 23:57:44,37.1,-113.58,87.8,7,1,3.36
3,Road Town,VG,2020-09-30 00:00:52,18.42,-64.62,80.01,94,15,1.99
4,Wawa,NG,2020-09-30 00:00:53,9.9,4.42,73.42,96,92,2.71
5,Bethel,US,2020-09-30 00:00:53,41.37,-73.41,70.0,88,90,6.93
6,Calama,CL,2020-09-30 00:00:01,-22.47,-68.93,68.0,14,2,20.8
7,Punta Arenas,CL,2020-09-29 23:57:09,-53.15,-70.92,33.8,83,75,23.04
8,Cape Town,ZA,2020-09-30 00:00:14,-33.93,18.42,55.0,76,3,10.29
9,Morondava,MG,2020-09-30 00:00:54,-20.28,44.28,75.22,65,0,7.34
10,Brandon,US,2020-09-30 00:00:54,27.94,-82.29,80.6,83,75,10.36
11,Kaitangata,NZ,2020-09-30 00:00:54,-46.28,169.85,48.0,65,72,8.01
12,Torbay,CA,2020-09-30 00:00:55,47.67,-52.73,66.2,93,90,20.8
13,Saint-Philippe,RE,2020-09-30 00:00:55,-21.36,55.77,69.8,68,45,5.82
14,Yining,CN,2020-09-30 00:00:56,29.04,114.56,67.89,88,80,1.83
15,Port Hardy,CA,2020-09-29 23:59:55,50.7,-127.42,62.6,77,5,3.36
16,Yar-Sale,RU,2020-09-30 00:00:56,66.83,70.83,40.53,83,99,3.98
17,Tasiilaq,GL,2020-09-30 00:00:57,65.61,-37.64,33.8,69,100,3.36
18,Hay River,CA,2020-09-30 00:00:10,60.82,-115.8,50.0,76,75,18.34
19,Daru,PG,2020-09-30 00:00:57,-9.08,143.21,79.07,75,99,17.4
20,Georgetown,MY,2020-09-30 00:00:18,5.41,100.34,80.6,88,20,2.24
21,Atherton,GB,2020-09-30 00:00:58,53.52,-2.49,50.0,91,90,1.99
22,Bluff,NZ,2020-09-30 00:00:58,-46.6,168.33,46.99,93,99,8.99
23,Guilin,CN,2020-09-30 00:00:58,25.28,110.29,69.8,100,90,2.24
24,Estelle,US,2020-09-30 00:00:58,29.85,-90.11,73.99,40,40,13.87
